word,translation,gender,ipa
people,personnes, masculine,personnes
history,histoire, feminine,histoire
way,façon, feminine,façon
art,art, masculine,art
world,monde, masculine,monde
information,information, feminine,information
map,carte, feminine,carte
family,famille, feminine,famille
government,gouvernement, masculine,gouvernement
health,santé, feminine,santé
system,système, masculine,système
computer,ordinateur, masculine,ordinateur
meat,viande, feminine,viande
year,année, feminine,année
thanks,grâce à, feminine,grâce à
music,musique, feminine,musique
person,personne, feminine,personne
reading,lecture, feminine,lecture
method,méthode, feminine,méthode
data,données, masculine,données
food,nourriture, feminine,nourriture
understanding,compréhension, feminine,compréhension
theory,théorie, feminine,théorie
law,loi, feminine,loi
bird,oiseau, masculine,oiseau
literature,littérature, feminine,littérature
problem,problème, masculine,problème
software,logiciel, masculine,logiciel
control,contrôle, masculine,contrôle
knowledge,connaissance, feminine,connaissance
power,pouvoir, masculine,pouvoir
ability,capacité, feminine,capacité
economics,économie, feminine,économie
love,amour, masculine,amˈuʁ
internet,Internet, masculine,ɛ̃tɛʁnˈɛt
television,télévision, feminine,televizjˈɔ̃
science,science, feminine,sjˈɑ̃s
library,bibliothèque, feminine,bibliotˈɛk
nature,nature, feminine,natˈyʁ
fact,fait, masculine,fˈɛ
product,produit, masculine,pʁodyˈi
idea,idée, feminine,idˈe
temperature,température, feminine,tɑ̃peʁatˈyʁ
investment,investissement, masculine,ɛ̃vɛstismˈɑ̃
area,domaine, masculine,domˈɛn
society,société, feminine,sosjetˈe
activity,activité, feminine,aktivitˈe
story,récit, masculine,ʁesˈi
industry,industrie, feminine,ɛ̃dystʁˈi
media,médias, feminine,medjˈa
