word,translation,gender,ipa
people,लोग, None, loːgə
history,इतिहास, masculine,it̪iɦɑːsə
way,ढंग, masculine,ɖʰⁿgə
art,कला, feminine,kəlɑː
world,जगत, masculine,ɟəgət̪ə
information,जानकारी, feminine,ɟɑːnəkɑːriː
map,नक़्शा, masculine,nəkə़्ɕɑː
family,पारिवारिक, None,pɑːrivɑːrikə
government,सरकार, feminine,sərəkɑːrə
health,स्वास्थ्य, masculine,svɑːst̪ʰjə
system,व्यवस्था, feminine,vjəvəst̪ʰɑː
computer,कंप्यूटर, masculine,kⁿpjuːʈərə
meat,मांस, masculine,mɑːⁿsə
year,वर्ष, masculine,vərʂə
thanks,ज़रिए, None,ɟə़rieː
music,संगीत, masculine,sⁿgiːt̪ə
person,व्यक्ति, masculine,vjəkt̪i
reading,पाठन, masculine,pɑːʈʰənə
method,तरीक़ा, masculine,t̪əriːkə़ा
data,डाटा, feminine,ɖɑːʈɑː
food,आहार, masculine,ɑːɦɑːrə
understanding,समझदार, None,səməɟʰəd̪ɑːrə
theory,सिद्धांत, masculine,sid̪d̪ʰɑːⁿt̪ə
law,क़ानून, masculine,kə़ाnuːnə
bird,पक्षी, masculine,pəkʂiː
literature,साहित्य, masculine,sɑːɦit̪jə
problem,समस्या, feminine,səməsjɑː
software,सॉफ्टवेयर, masculine,səॉpʰʈəveːjərə
control,नियंत्रण, masculine,nijⁿt̪rəɳə
knowledge,ज्ञान, masculine,ɟɲɑːnə
power,शक्ति, feminine,ɕəkt̪i
ability,अहलियत, feminine,əɦəlijət̪ə
economics,अर्थशास्त्र, masculine,ərt̪ʰəɕɑːst̪rə
love,प्यार, masculine,pjɑːrə
internet,इंटरनेट, masculine,iⁿʈərəneːʈə
television,दूरदर्शन, masculine,d̪uːrəd̪ərɕənə
science,विज्ञान, masculine,viɟɲɑːnə
library,पुस्तकालय, masculine,pust̪əkɑːləjə
nature,प्रकृति, feminine,prəkɹ̩t̪i
fact,तथ्य, masculine,t̪ət̪ʰjə
product,उत्पादन, masculine,ut̪pɑːd̪ənə
idea,विचार, masculine,vicɑːrə
temperature,तापमान, masculine,t̪ɑːpəmɑːnə
investment,निवेश, masculine,niveːɕə
area,क्षेत्रफल, masculine,kʂeːt̪rəpʰələ
society,समाज, masculine,səmɑːɟə
activity,कार्रवाई, feminine,kɑːrrəvɑːiː
story,कहानी, feminine,kəɦɑːniː
industry,उद्योग, masculine,ud̪joːgə
media,मीडिया, masculine,miːɖijɑː
