ArraySeq(history, इतिहास,  masculine, it̪iɦɑːsə, ə, sə, i, it, स, ास, इ, इत, 9, 6)
ArraySeq(way, ढंग,  masculine, ɖʰⁿgə, ə, gə, ɖ, ɖʰ, ग, ंग, ढ, ढं, 5, 3)
ArraySeq(art, कला,  feminine, kəlɑː, ː, ɑː, k, kə, ा, ला, क, कल, 5, 3)
ArraySeq(world, जगत,  masculine, ɟəgət̪ə, ə, ̪ə, ɟ, ɟə, त, गत, ज, जग, 7, 3)
ArraySeq(information, जानकारी,  feminine, ɟɑːnəkɑːriː, ː, iː, ɟ, ɟɑ, ी, री, ज, जा, 11, 7)
ArraySeq(map, नक़्शा,  masculine, nəkə़्ɕɑː, ː, ɑː, n, nə, ा, शा, न, नक, 9, 6)
ArraySeq(government, सरकार,  feminine, sərəkɑːrə, ə, rə, s, sə, र, ार, स, सर, 9, 5)
ArraySeq(health, स्वास्थ्य,  masculine, svɑːst̪ʰjə, ə, jə, s, sv, य, ्य, स, स्, 10, 9)
ArraySeq(system, व्यवस्था,  feminine, vjəvəst̪ʰɑː, ː, ɑː, v, vj, ा, था, व, व्, 11, 8)
ArraySeq(computer, कंप्यूटर,  masculine, kⁿpjuːʈərə, ə, rə, k, kⁿ, र, टर, क, कं, 10, 8)
ArraySeq(meat, मांस,  masculine, mɑːⁿsə, ə, sə, m, mɑ, स, ंस, म, मा, 6, 4)
ArraySeq(year, वर्ष,  masculine, vərʂə, ə, ʂə, v, və, ष, ्ष, व, वर, 5, 4)
ArraySeq(music, संगीत,  masculine, sⁿgiːt̪ə, ə, ̪ə, s, sⁿ, त, ीत, स, सं, 8, 5)
ArraySeq(person, व्यक्ति,  masculine, vjəkt̪i, i, ̪i, v, vj, ि, ति, व, व्, 7, 7)
ArraySeq(reading, पाठन,  masculine, pɑːʈʰənə, ə, nə, p, pɑ, न, ठन, प, पा, 8, 4)
ArraySeq(method, तरीक़ा,  masculine, t̪əriːkə़ा, ा, ़ा, t, t̪, ा, ़ा, त, तर, 10, 6)
ArraySeq(data, डाटा,  feminine, ɖɑːʈɑː, ː, ɑː, ɖ, ɖɑ, ा, टा, ड, डा, 6, 4)
ArraySeq(food, आहार,  masculine, ɑːɦɑːrə, ə, rə, ɑ, ɑː, र, ार, आ, आह, 7, 4)
ArraySeq(theory, सिद्धांत,  masculine, sid̪d̪ʰɑːⁿt̪ə, ə, ̪ə, s, si, त, ंत, स, सि, 13, 8)
ArraySeq(law, क़ानून,  masculine, kə़ाnuːnə, ə, nə, k, kə, न, ून, क, क़, 9, 6)
ArraySeq(bird, पक्षी,  masculine, pəkʂiː, ː, iː, p, pə, ी, षी, प, पक, 6, 5)
ArraySeq(literature, साहित्य,  masculine, sɑːɦit̪jə, ə, jə, s, sɑ, य, ्य, स, सा, 9, 7)
ArraySeq(problem, समस्या,  feminine, səməsjɑː, ː, ɑː, s, sə, ा, या, स, सम, 8, 6)
ArraySeq(software, सॉफ्टवेयर,  masculine, səॉpʰʈəveːjərə, ə, rə, s, sə, र, यर, स, सॉ, 14, 9)
ArraySeq(control, नियंत्रण,  masculine, nijⁿt̪rəɳə, ə, ɳə, n, ni, ण, रण, न, नि, 10, 8)
ArraySeq(knowledge, ज्ञान,  masculine, ɟɲɑːnə, ə, nə, ɟ, ɟɲ, न, ान, ज, ज्, 6, 5)
ArraySeq(power, शक्ति,  feminine, ɕəkt̪i, i, ̪i, ɕ, ɕə, ि, ति, श, शक, 6, 5)
ArraySeq(ability, अहलियत,  feminine, əɦəlijət̪ə, ə, ̪ə, ə, əɦ, त, यत, अ, अह, 10, 6)
ArraySeq(economics, अर्थशास्त्र,  masculine, ərt̪ʰəɕɑːst̪rə, ə, rə, ə, ər, र, ्र, अ, अर, 14, 11)
ArraySeq(love, प्यार,  masculine, pjɑːrə, ə, rə, p, pj, र, ार, प, प्, 6, 5)
ArraySeq(internet, इंटरनेट,  masculine, iⁿʈərəneːʈə, ə, ʈə, i, iⁿ, ट, ेट, इ, इं, 11, 7)
